TOPIC,DESCRIPTION,,Count,
Knowledge of languages,        Haitian Creole,,540,
Knowledge of languages,        Jamaican English Creole,,135,
Knowledge of languages,        Krio,,125,
Knowledge of languages,        Morisyen,,355,
Knowledge of languages,        Sango,,0,
Knowledge of languages,"        Creole, n.o.s.",,475,
Knowledge of languages,"        Creole languages, n.i.e.",,470,
Knowledge of languages,      Dravidian languages,,10080,
Knowledge of languages,        Kannada,,1075,
Knowledge of languages,        Malayalam,,3775,
Knowledge of languages,        Tamil,,4200,
Knowledge of languages,        Telugu,,2335,
Knowledge of languages,        Tulu,,70,
Knowledge of languages,"        Dravidian languages, n.i.e.",,25,
Knowledge of languages,      Georgian,,220,
Knowledge of languages,      Hmong-Mien languages,,0,
Knowledge of languages,      Indo-European languages,,257340,
Knowledge of languages,        Albanian,,1825,
Knowledge of languages,        Armenian,,460,
Knowledge of languages,        Balto-Slavic languages,,34205,
Knowledge of languages,        Baltic languages,,485,
Knowledge of languages,            Latvian,,155,
Knowledge of languages,            Lithuanian,,330,
Knowledge of languages,          Slavic languages,,33920,
Knowledge of languages,            Belarusian,,85,
Knowledge of languages,            Bulgarian,,985,
Knowledge of languages,            Czech,,1940,
Knowledge of languages,            Macedonian,,290,
Knowledge of languages,            Polish,,8485,
Knowledge of languages,            Russian,,14155,
Knowledge of languages,            Rusyn,,0,
Knowledge of languages,            Serbo-Croatian,,6010,
Knowledge of languages,              Bosnian,,1560,
Knowledge of languages,              Croatian,,3010,
Knowledge of languages,              Serbian,,2905,
Knowledge of languages,"              Serbo-Croatian, n.i.e.",,120,
Knowledge of languages,            Slovak,,1295,
Knowledge of languages,            Slovene (Slovenian),,280,
Knowledge of languages,            Ukrainian,,4265,
Knowledge of languages,"            Slavic languages, n.i.e.",,0,
Knowledge of languages,        Celtic languages,,435,
Knowledge of languages,          Irish,,205,
Knowledge of languages,          Scottish Gaelic,,85,
Knowledge of languages,          Welsh,,135,
Knowledge of languages,"          Celtic languages, n.i.e.",,15,
Knowledge of languages,        Germanic languages,,21235,
Knowledge of languages,          Frisian,,55,
Knowledge of languages,          High German languages,,14220,
Knowledge of languages,            German,,13950,
Knowledge of languages,            Pennsylvania German,,10,
Knowledge of languages,            Swiss German,,350,
Knowledge of languages,            Yiddish,,110,
Knowledge of languages,          Low Saxon-Low Franconian languages,,5870,
Knowledge of languages,            Afrikaans,,1785,
Knowledge of languages,            Dutch,,3780,
Knowledge of languages,"            Low German, n.o.s.",,40,
Knowledge of languages,            Low Saxon,,0,
Knowledge of languages,            Plautdietsch,,230,
Knowledge of languages,            Vlaams (Flemish),,125,
Knowledge of languages,          Scandinavian languages,,1920,
Knowledge of languages,            Danish,,940,
Knowledge of languages,            Icelandic,,50,
Knowledge of languages,            Norwegian,,380,
Knowledge of languages,            Swedish,,630,
Knowledge of languages,"          Germanic languages, n.i.e.",,15,
Knowledge of languages,        Greek,,2155,
Knowledge of languages,        Indo-Iranian languages,,132795,
Knowledge of languages,          Indo-Aryan languages,,118560,
Knowledge of languages,            Assamese,,80,
Knowledge of languages,            Bengali,,6005,
Knowledge of languages,            Gujarati,,10800,
Knowledge of languages,            Hindi,,42160,
Knowledge of languages,            Kacchi,,2245,
Knowledge of languages,            Kashmiri,,190,
Knowledge of languages,            Konkani,,425,
Knowledge of languages,            Marathi,,2245,
Knowledge of languages,            Nepali,,2880,
Knowledge of languages,            Oriya languages,,105,
Knowledge of languages,              Odia,,15,
Knowledge of languages,"              Oriya, n.o.s.",,85,
Knowledge of languages,            Punjabi (Panjabi),,61205,
Knowledge of languages,            Rohingya,,0,
Knowledge of languages,            Sindhi,,630,
Knowledge of languages,            Sinhala (Sinhalese),,1330,
Knowledge of languages,            Urdu,,29980,
Knowledge of languages,"            Indo-Aryan languages, n.i.e.",,1355,
Knowledge of languages,          Iranian languages,,16480,
Knowledge of languages,            Baluchi,,65,
Knowledge of languages,            Kurdish,,1360,
Knowledge of languages,            Parsi,,10,
Knowledge of languages,            Pashto,,2930,
Knowledge of languages,            Persian languages,,12595,
Knowledge of languages,              Dari,,4430,
Knowledge of languages,              Iranian Persian,,6735,
Knowledge of languages,"              Persian (Farsi), n.o.s.",,1605,
Knowledge of languages,"            Iranian languages, n.i.e.",,160,
Knowledge of languages,"          Indo-Iranian languages, n.i.e.",,165,
Knowledge of languages,        Italic (Romance) languages,,71550,
Knowledge of languages,          Catalan,,100,
Knowledge of languages,          Italian,,8730,
Knowledge of languages,          Portuguese,,6170,
Knowledge of languages,          Romanian,,5390,
Knowledge of languages,          Spanish,,54235,
Knowledge of languages,"          Italic (Romance) languages, n.i.e.",,120,
Knowledge of languages,"        Indo-European languages, n.i.e.",,145,
Knowledge of languages,      Japanese,,4845,
Knowledge of languages,      Korean,,11695,
Knowledge of languages,      Mongolian,,640,
Knowledge of languages,      Niger-Congo languages,,16975,
Knowledge of languages,        Akan (Twi),,1270,
Knowledge of languages,        Bamanankan,,35,
Knowledge of languages,        Edo,,310,
Knowledge of languages,        �w�,,100,
Knowledge of languages,"        Fulah (Pular, Pulaar, Fulfulde)",,170,
Knowledge of languages,        Ga,,275,
Knowledge of languages,        Ganda,,110,
Knowledge of languages,        Gikuyu,,155,
Knowledge of languages,        Igbo,,2800,
Knowledge of languages,        Kinyarwanda (Rwanda),,295,
Knowledge of languages,        Lingala,,395,
Knowledge of languages,        Luba-Kasai,,75,
Knowledge of languages,        M�or�,,15,
Knowledge of languages,        Mwani,,255,
Knowledge of languages,        Ndebele,,125,
Knowledge of languages,        Rundi (Kirundi),,145,
Knowledge of languages,        Shona,,580,
Knowledge of languages,        Soninke,,20,
Knowledge of languages,        Sotho-Tswana languages,,120,
Knowledge of languages,        Swahili,,3220,
Knowledge of languages,        Wojenaka,,35,
Knowledge of languages,        Wolof,,230,
Knowledge of languages,        Yoruba,,5915,
Knowledge of languages,"        Niger-Congo languages, n.i.e.",,2355,
Knowledge of languages,      Nilo-Saharan languages,,1815,
Knowledge of languages,        Dinka,,815,
Knowledge of languages,        Nuer,,440,
Knowledge of languages,"        Nilo-Saharan languages, n.i.e.",,575,
Knowledge of languages,"        African, n.o.s.",,170,
Knowledge of languages,      Sign languages,,1775,
Knowledge of languages,        American Sign Language,,1495,
Knowledge of languages,        Quebec Sign Language,,0,
Knowledge of languages,"        Sign languages, n.i.e.",,335,
Knowledge of languages,      Sino-Tibetan languages,,81025,
Knowledge of languages,        Chinese languages,,79265,
Knowledge of languages,          Hakka,,390,
Knowledge of languages,          Mandarin,,45330,
Knowledge of languages,          Min Dong,,35,
Knowledge of languages,"          Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,2295,
Knowledge of languages,          Wu (Shanghainese),,335,
Knowledge of languages,          Yue (Cantonese),,42090,
Knowledge of languages,"          Chinese, n.o.s.",,840,
Knowledge of languages,"          Chinese languages, n.i.e.",,40,
Knowledge of languages,        Tibeto-Burman languages,,1785,
Knowledge of languages,          Burmese,,495,
Knowledge of languages,          Kuki-Chin languages,,120,
Knowledge of languages,          Karenic languages,,365,
